mutation,label,global,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_38,passing,0.738590,0.884685,0.897297,0.931707,0.643373,0.645570,0.636170,0.466667,0.466667,0.481818,0.555372,0.582301,1.000000,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.655265,0.950000,0.801852,0.759524,0.529412,0.481928,0.462136,0.360494,0.360494,0.363636,0.469421,0.470796,1.000000,0.482353,0.499048,0.499048,0.499048,0.511927,0.511927,0.511927,0.511927,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.898509,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.890739,0.988889,0.988991,0.985542,0.754217,0.750000,0.778723,0.773171,0.773171,0.784615,0.841935,0.850435,1.000000,0.859504,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.900967,0.996262,0.996296,0.995122,0.765854,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.411110,0.429907,0.227778,0.265854,0.200000,0.134177,0.118280,0.135802,0.135802,0.156818,0.195041,0.208850,1.000000,0.188235,0.188571,0.188571,0.188571,0.181651,0.181651,0.181651,0.181651,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.898509,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.881376,0.977570,0.977778,0.970732,0.709756,0.721519,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,1.000000,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.735758,0.938318,0.938889,0.919512,0.648193,0.645570,0.647312,0.451852,0.451852,0.465909,0.543802,0.569912,1.000000,0.603361,0.605714,0.605714,0.605714,0.622018,0.622018,0.622018,0.622018,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.720332,0.893458,0.887037,0.903614,0.595238,0.620253,0.619355,0.429630,0.429630,0.456818,0.532231,0.559292,1.000000,0.588235,0.592381,0.592381,0.592381,0.609174,0.609174,0.609174,0.609174,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.880026,0.968224,0.966667,0.956098,0.709756,0.721519,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,1.000000,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.745532,0.958879,0.942593,0.926829,0.667470,0.663291,0.660215,0.466667,0.466667,0.481818,0.555372,0.582301,1.000000,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.898509,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.691742,0.674766,0.662963,0.663415,0.446341,0.440506,0.477419,0.451852,0.451852,0.493182,0.616529,0.612389,1.000000,0.596639,0.626667,0.626667,0.626667,0.629358,0.629358,0.629358,0.629358,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.792546,0.895413,0.876364,0.869048,0.548235,0.568293,0.575510,0.547126,0.547126,0.612903,0.696063,0.703390,1.000000,0.755738,0.768224,0.768224,0.768224,0.776577,0.776577,0.776577,0.776577,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.459180,0.377570,0.316667,0.351220,0.251220,0.194937,0.152632,0.156322,0.156322,0.174074,0.269630,0.283969,1.000000,0.256566,0.293023,0.293023,0.310828,0.267692,0.277660,0.277660,0.277660,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.424080,0.360748,0.309259,0.334146,0.251220,0.220253,0.255914,0.209877,0.209877,0.227273,0.361983,0.368142,1.000000,0.115294,0.118095,0.119614,0.125503,0.109794,0.111111,0.108995,0.108995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
