mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_1,passing,0.898219,0.990654,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_11,passing,0.692225,1.000000,0.870370,0.831325,0.674699,0.609756,0.613861,0.606061,0.606061,0.576577,0.694444,0.678832,0.632258,0.674242,0.674242,0.674242,0.683824,0.683824,0.683824,0.683824
mutation_14,passing,0.895607,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_16,passing,0.488703,0.691589,0.500000,0.573171,0.487805,0.493671,0.397849,0.444444,0.444444,0.420455,0.479339,0.451327,0.470588,0.495238,0.495238,0.495238,0.486239,0.486239,0.486239,0.486239
mutation_19,passing,0.887170,0.990741,0.990826,0.987952,0.795181,0.787500,0.819149,0.804878,0.804878,0.813187,0.895161,0.904348,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091
mutation_21,passing,0.886721,0.971963,0.972222,0.987952,0.795181,0.784810,0.817204,0.802469,0.802469,0.829545,0.909091,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_22,passing,0.498874,0.700935,0.509259,0.585366,0.500000,0.506329,0.408602,0.456790,0.456790,0.431818,0.487603,0.460177,0.478992,0.504762,0.504762,0.504762,0.495413,0.495413,0.495413,0.495413
mutation_25,passing,0.882538,0.990654,0.981481,0.975610,0.780488,0.759494,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_27,passing,0.719756,0.971963,0.972222,0.963415,0.722892,0.721519,0.741935,0.530864,0.530864,0.545455,0.636364,0.663717,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596
mutation_28,passing,0.868649,1.000000,0.953704,0.939024,0.768293,0.759494,0.806452,0.802469,0.802469,0.806818,0.892562,0.893805,0.899160,0.885714,0.885714,0.885714,0.880734,0.880734,0.880734,0.880734
mutation_29,passing,0.889499,0.946429,0.964286,0.987952,0.771084,0.775000,0.810526,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_30,passing,0.895607,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_32,passing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_33,passing,0.795417,0.962963,0.963303,0.951807,0.714286,0.700000,0.715789,0.617284,0.617284,0.602273,0.743802,0.798246,0.815126,0.841121,0.841121,0.841121,0.846847,0.846847,0.846847,0.846847
mutation_35,passing,0.883352,0.990741,0.981651,0.975904,0.771084,0.746835,0.808511,0.792683,0.792683,0.831461,0.909836,0.912281,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091
mutation_36,passing,0.889499,0.946429,0.964286,0.987952,0.771084,0.775000,0.810526,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_37,passing,0.895140,0.990654,0.990741,0.987805,0.780488,0.784810,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_38,passing,0.712197,0.918919,0.936937,0.963415,0.698795,0.708861,0.723404,0.530864,0.530864,0.545455,0.636364,0.663717,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596
mutation_39,passing,0.596477,0.962963,0.842593,0.797619,0.588235,0.542169,0.533981,0.419753,0.419753,0.431818,0.545455,0.557522,0.563025,0.580952,0.580952,0.580952,0.596330,0.596330,0.596330,0.596330
mutation_4,passing,0.895607,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_41,passing,0.887170,0.990741,0.990826,0.987952,0.795181,0.787500,0.819149,0.804878,0.804878,0.813187,0.895161,0.904348,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091
mutation_42,passing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_46,passing,0.229182,0.457944,0.268519,0.317073,0.243902,0.151899,0.139785,0.160494,0.160494,0.181818,0.231405,0.247788,0.226891,0.228571,0.228571,0.228571,0.220183,0.220183,0.220183,0.220183
mutation_47,passing,0.895607,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_48,passing,0.883691,0.990654,0.990741,0.987805,0.768293,0.772152,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_49,passing,0.709593,0.962617,0.962963,0.951220,0.710843,0.708861,0.731183,0.518519,0.518519,0.534091,0.628099,0.654867,0.689076,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_5,passing,0.695366,0.943925,0.944444,0.951807,0.666667,0.683544,0.709677,0.493827,0.493827,0.522727,0.619835,0.654867,0.680672,0.685714,0.685714,0.685714,0.697248,0.697248,0.697248,0.697248
mutation_6,passing,0.882070,0.981308,0.981481,0.975610,0.768293,0.772152,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_8,passing,0.718627,0.971963,0.962963,0.951220,0.722892,0.721519,0.741935,0.530864,0.530864,0.545455,0.636364,0.663717,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596
mutation_9,passing,0.895607,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_all_dif,passing,0.663398,0.757009,0.750000,0.756098,0.524390,0.518987,0.569892,0.543210,0.543210,0.568182,0.727273,0.725664,0.680672,0.704762,0.704762,0.704762,0.706422,0.706422,0.706422,0.706422
mutation_all_dif_2,passing,0.783032,0.935780,0.927273,0.928571,0.623529,0.634146,0.663265,0.632184,0.632184,0.666667,0.779528,0.788136,0.819672,0.831776,0.831776,0.831776,0.837838,0.837838,0.837838,0.837838
mutation_completely_dif,passing,0.318042,0.429907,0.379630,0.426829,0.304878,0.227848,0.192982,0.195402,0.195402,0.222222,0.340741,0.351145,0.323232,0.360465,0.360465,0.382166,0.328205,0.340426,0.340426,0.340426
mutation_completely_dif_2,passing,0.251592,0.420561,0.361111,0.402439,0.292683,0.253165,0.311828,0.234568,0.234568,0.261364,0.421488,0.442478,0.141176,0.146032,0.147910,0.154362,0.139175,0.140212,0.137566,0.137566
mutation_15,failing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_18,failing,0.886585,0.990741,0.990826,0.987952,0.783133,0.775000,0.808511,0.792683,0.792683,0.831461,0.909836,0.912281,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091
mutation_23,failing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_24,failing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_26,failing,0.898711,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431
mutation_31,failing,0.888540,0.990654,0.990741,0.987805,0.792683,0.784810,0.817204,0.802469,0.802469,0.829545,0.909091,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_34,failing,0.886585,0.990741,0.990826,0.987952,0.783133,0.775000,0.808511,0.792683,0.792683,0.831461,0.909836,0.912281,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091
