mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_1,passing,0.895571,0.990654,0.990741,1.000000,0.792683,0.784810,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_11,passing,0.619276,1.000000,0.842593,0.795181,0.614458,0.560976,0.574257,0.565657,0.565657,0.549550,0.631944,0.613139,0.529032,0.553030,0.553030,0.553030,0.566176,0.566176,0.566176,0.566176
mutation_14,passing,0.893447,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_16,passing,0.404149,0.654206,0.407407,0.451220,0.378049,0.379747,0.322581,0.345679,0.345679,0.352273,0.396694,0.407080,0.394958,0.409524,0.409524,0.409524,0.403670,0.403670,0.403670,0.403670
mutation_19,passing,0.885017,0.990741,0.990826,0.987952,0.783133,0.775000,0.829787,0.829268,0.829268,0.835165,0.879032,0.895652,0.900826,0.896226,0.896226,0.896226,0.900000,0.900000,0.900000,0.900000
mutation_21,passing,0.882321,0.962617,0.962963,0.975904,0.771084,0.772152,0.827957,0.827160,0.827160,0.852273,0.892562,0.902655,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083
mutation_22,passing,0.414811,0.672897,0.416667,0.463415,0.390244,0.392405,0.333333,0.358025,0.358025,0.363636,0.404959,0.415929,0.403361,0.419048,0.419048,0.419048,0.412844,0.412844,0.412844,0.412844
mutation_25,passing,0.875592,0.981308,0.972222,0.963415,0.768293,0.746835,0.806452,0.790123,0.790123,0.840909,0.884298,0.902655,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083
mutation_27,passing,0.660672,0.962617,0.962963,0.951220,0.686747,0.696203,0.709677,0.469136,0.469136,0.488636,0.578512,0.575221,0.613445,0.619048,0.619048,0.619048,0.633028,0.633028,0.633028,0.633028
mutation_28,passing,0.856244,1.000000,0.944444,0.926829,0.743902,0.734177,0.795699,0.814815,0.814815,0.818182,0.867769,0.876106,0.882353,0.866667,0.866667,0.866667,0.862385,0.862385,0.862385,0.862385
mutation_29,passing,0.883369,0.937500,0.955357,0.975904,0.746988,0.750000,0.800000,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_30,passing,0.893447,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_32,passing,0.896551,1.000000,1.000000,1.000000,0.792683,0.784810,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_33,passing,0.759312,0.953704,0.954128,0.939759,0.678571,0.662500,0.663158,0.530864,0.530864,0.534091,0.661157,0.745614,0.789916,0.822430,0.822430,0.822430,0.828829,0.828829,0.828829,0.828829
mutation_35,passing,0.881195,0.990741,0.981651,0.975904,0.759036,0.734177,0.819149,0.817073,0.817073,0.853933,0.893443,0.903509,0.908333,0.896226,0.896226,0.896226,0.900000,0.900000,0.900000,0.900000
mutation_36,passing,0.883369,0.937500,0.955357,0.975904,0.746988,0.750000,0.800000,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
mutation_37,passing,0.891209,0.990654,0.981481,0.975610,0.756098,0.772152,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257
