mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_5,passing,0.421406,0.775701,0.740741,0.807229,0.392857,0.392405,0.333333,0.234568,0.234568,0.250000,0.338843,0.353982,0.394958,0.380952,0.380952,0.380952,0.403670,0.403670,0.403670,0.403670
mutation_6,passing,0.651402,0.953271,0.953704,0.939024,0.487805,0.493671,0.483871,0.481481,0.481481,0.522727,0.619835,0.637168,0.672269,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_8,passing,0.474371,0.934579,0.888889,0.865854,0.457831,0.443038,0.387097,0.271605,0.271605,0.284091,0.371901,0.389381,0.428571,0.419048,0.419048,0.419048,0.440367,0.440367,0.440367,0.440367
mutation_9,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_all_dif,passing,0.407935,0.467290,0.490741,0.524390,0.304878,0.291139,0.290323,0.271605,0.271605,0.295455,0.429752,0.433628,0.436975,0.457143,0.457143,0.457143,0.467890,0.467890,0.467890,0.467890
mutation_all_dif_2,passing,0.522618,0.834862,0.781818,0.761905,0.364706,0.378049,0.326531,0.321839,0.321839,0.376344,0.488189,0.500000,0.549180,0.551402,0.551402,0.551402,0.567568,0.567568,0.567568,0.567568
mutation_completely_dif,passing,0.169555,0.289720,0.203704,0.243902,0.170732,0.151899,0.087719,0.080460,0.080460,0.064815,0.177778,0.183206,0.161616,0.191860,0.191860,0.203822,0.179487,0.186170,0.186170,0.186170
mutation_completely_dif_2,passing,0.152787,0.280374,0.222222,0.256098,0.182927,0.177215,0.172043,0.148148,0.148148,0.125000,0.272727,0.265487,0.085294,0.088889,0.090032,0.093960,0.072165,0.074074,0.074074,0.074074
mutation_15,failing,0.706051,1.000000,1.000000,1.000000,0.560976,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_18,failing,0.685806,0.981481,0.981651,0.975904,0.530120,0.537500,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_23,failing,0.706051,1.000000,1.000000,1.000000,0.560976,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_24,failing,0.706051,1.000000,1.000000,1.000000,0.560976,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_26,failing,0.706051,1.000000,1.000000,1.000000,0.560976,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_31,failing,0.668541,0.962617,0.962963,0.951220,0.524390,0.531646,0.526882,0.530864,0.530864,0.568182,0.652893,0.637168,0.672269,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_34,failing,0.685806,0.981481,0.981651,0.975904,0.530120,0.537500,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_40,failing,0.706051,1.000000,1.000000,1.000000,0.560976,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_43,failing,0.685806,0.981481,0.981651,0.975904,0.530120,0.537500,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_44,failing,0.685806,0.981481,0.981651,0.975904,0.530120,0.537500,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_7,failing,0.685806,0.981481,0.981651,0.975904,0.530120,0.537500,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
