mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_41,passing,0.927460,0.990741,0.990826,0.987952,0.831325,0.825000,0.861702,0.853659,0.853659,0.857143,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.431728,0.448598,0.259259,0.304878,0.231707,0.164557,0.139785,0.160494,0.160494,0.181818,0.223140,0.238938,1.000000,0.210084,0.219048,0.219048,0.219048,0.211009,0.211009,0.211009,0.211009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.925074,0.990654,0.990741,0.987805,0.804878,0.810127,0.849462,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.790811,0.962617,0.962963,0.951220,0.746988,0.746835,0.774194,0.543210,0.543210,0.545455,0.611570,0.646018,1.000000,0.680672,0.685714,0.685714,0.685714,0.697248,0.697248,0.697248,0.697248,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.777164,0.934579,0.925926,0.939759,0.690476,0.708861,0.741935,0.518519,0.518519,0.534091,0.603306,0.637168,1.000000,0.672269,0.676190,0.676190,0.676190,0.688073,0.688073,0.688073,0.688073,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.923889,0.981308,0.981481,0.975610,0.804878,0.810127,0.849462,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.797413,0.971963,0.962963,0.951220,0.759036,0.759494,0.784946,0.555556,0.555556,0.556818,0.619835,0.654867,1.000000,0.689076,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.753550,0.757009,0.731481,0.731707,0.536585,0.531646,0.591398,0.567901,0.567901,0.602273,0.719008,0.716814,1.000000,0.663866,0.695238,0.695238,0.695238,0.697248,0.697248,0.697248,0.697248,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.846380,0.926606,0.909091,0.916667,0.647059,0.658537,0.693878,0.655172,0.655172,0.709677,0.779528,0.788136,1.000000,0.819672,0.831776,0.831776,0.831776,0.837838,0.837838,0.837838,0.837838,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.494991,0.420561,0.361111,0.402439,0.292683,0.215190,0.192982,0.195402,0.195402,0.212963,0.318519,0.335878,1.000000,0.313131,0.354651,0.354651,0.375796,0.323077,0.335106,0.335106,0.335106,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.451813,0.411215,0.342593,0.378049,0.292683,0.265823,0.322581,0.246914,0.246914,0.272727,0.413223,0.433628,1.000000,0.138235,0.142857,0.144695,0.151007,0.136598,0.137566,0.134921,0.134921,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
