program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_49,passing,0.718117,0.000000,0.296296,0.759259,0.265060,0.783133,0.565217,0.521739,1.000000,0.606061,0.608696,0.978261,0.630435,0.836957,1.000000,1.000000,0.827586,1.000000,0.965517,1.000000
mutation_5,passing,0.718890,0.000000,0.299065,0.775701,0.261905,0.773810,0.565217,0.521739,1.000000,0.606061,0.597826,0.978261,0.645161,0.838710,1.000000,1.000000,0.829545,1.000000,0.965909,1.000000
mutation_6,passing,0.736846,0.000000,0.308411,0.757009,0.283951,0.839506,0.580645,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_8,passing,0.719261,0.000000,0.296296,0.759259,0.265060,0.783133,0.586957,0.521739,1.000000,0.606061,0.608696,0.978261,0.630435,0.836957,1.000000,1.000000,0.827586,1.000000,0.965517,1.000000
mutation_9,passing,0.736659,0.000000,0.305556,0.759259,0.280488,0.829268,0.591398,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_all_dif,passing,0.745460,0.000000,0.397849,0.784946,0.236842,0.815789,0.573034,0.808989,1.000000,0.619048,0.584746,0.864407,0.738739,0.850467,1.000000,1.000000,0.919192,1.000000,0.969697,1.000000
mutation_all_dif_2,passing,0.731239,0.000000,0.318182,0.763636,0.258824,0.823529,0.591837,0.816327,1.000000,0.559140,0.606299,0.842520,0.655738,0.819672,1.000000,1.000000,0.864865,1.000000,0.972973,1.000000
mutation_completely_dif,passing,0.675069,0.000000,0.329114,0.822785,0.227273,0.750000,0.578947,0.552632,1.000000,0.379630,0.622222,0.903704,0.383838,0.853535,1.000000,0.848837,0.646154,0.943590,0.984043,1.000000
mutation_completely_dif_2,passing,0.668321,0.000000,0.413793,0.844828,0.160000,0.588235,0.529412,0.720588,1.000000,0.507692,0.582418,0.956044,0.152941,0.911765,0.914286,0.929260,0.548969,0.948454,0.989418,1.000000
mutation_15,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_18,failing,0.735833,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.584270,0.622951,0.877049,0.691667,0.825000,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
mutation_23,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_24,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_26,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_31,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_34,failing,0.735833,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.584270,0.622951,0.877049,0.691667,0.825000,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
mutation_40,failing,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_43,failing,0.735833,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.584270,0.622951,0.877049,0.691667,0.825000,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
mutation_44,failing,0.735833,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.584270,0.622951,0.877049,0.691667,0.825000,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
mutation_7,failing,0.735833,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.584270,0.622951,0.877049,0.691667,0.825000,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
