program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_49,passing,0.753708,0.000000,0.351852,0.759259,0.313253,0.855422,0.695652,0.586957,1.000000,0.636364,0.673913,0.978261,0.728261,0.902174,1.000000,1.000000,0.873563,1.000000,0.965517,1.000000
mutation_5,passing,0.754313,0.000000,0.355140,0.775701,0.309524,0.845238,0.695652,0.586957,1.000000,0.636364,0.663043,0.978261,0.741935,0.903226,1.000000,1.000000,0.875000,1.000000,0.965909,1.000000
mutation_6,passing,0.773184,0.000000,0.373832,0.757009,0.320988,0.876543,0.709677,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_8,passing,0.754852,0.000000,0.351852,0.759259,0.313253,0.855422,0.717391,0.586957,1.000000,0.636364,0.673913,0.978261,0.728261,0.902174,1.000000,1.000000,0.873563,1.000000,0.965517,1.000000
mutation_9,passing,0.772918,0.000000,0.370370,0.759259,0.317073,0.865854,0.720430,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_all_dif,passing,0.779105,0.000000,0.440860,0.795699,0.302632,0.868421,0.674157,0.865169,1.000000,0.654762,0.669492,0.906780,0.828829,0.897196,1.000000,1.000000,0.929293,1.000000,0.969697,1.000000
mutation_all_dif_2,passing,0.768973,0.000000,0.381818,0.763636,0.305882,0.882353,0.714286,0.867347,1.000000,0.591398,0.692913,0.897638,0.762295,0.877049,1.000000,1.000000,0.900901,1.000000,0.972973,1.000000
mutation_completely_dif,passing,0.713292,0.000000,0.379747,0.822785,0.257576,0.776316,0.605263,0.736842,1.000000,0.398148,0.770370,0.911111,0.489899,0.868687,1.000000,0.895349,0.712821,0.943590,0.984043,1.000000
mutation_completely_dif_2,passing,0.708975,0.000000,0.517241,0.844828,0.240000,0.647059,0.573529,0.867647,1.000000,0.538462,0.670330,0.978022,0.188235,0.926471,0.946032,0.958199,0.621134,0.963918,0.989418,1.000000
mutation_15,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_18,failing,0.771741,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.629213,0.688525,0.934426,0.783333,0.883333,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_23,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_24,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_26,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_31,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_34,failing,0.771741,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.629213,0.688525,0.934426,0.783333,0.883333,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_40,failing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_43,failing,0.771741,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.629213,0.688525,0.934426,0.783333,0.883333,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_44,failing,0.771741,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.629213,0.688525,0.934426,0.783333,0.883333,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_7,failing,0.771741,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.629213,0.688525,0.934426,0.783333,0.883333,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
